article_title,revision_id,url,country,article_quality
Hasan Ali Sultani,1136614726,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,Stub
Mohammad Hashem Taufiqui,1233490009,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,Start
Pacha Gul Wafadar,1227179979,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,Stub
Wahidullah Waissi,1232389768,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,C
Ahmadullah Wasiq,1171042170,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,Start
Gul Ahmmad Yama,1136614561,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,Start
Abdul Salam Zaeef,1243758857,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,GA
Abdul Zahir (Konar Education Minister),1126667481,https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,Stub
Mohammed Zaman,1229734414,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,Start
Ziauddin (Afghan militia leader),1150044800,https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,Start
Qari Ziauddin,1245217124,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,Start
Abdul Ghafor Zori,1136614520,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,Stub
Ali Pasha of Gusinje,1244421894,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,GA
Ylli Asllani,1221605713,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,Start
Azis Tahir Ajdonati,1192928746,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,Stub
Bislim Bajgora,1217284690,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,C
Kastriot Berissa,1244463139,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,Start
Bardhok Biba,1250227174,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,C
Kostandin Boshnjaku,1250227994,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,C
Spartak Braho,1224650124,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,Start
Safet Butka,1189442848,https://en.wikipedia.org/wiki/Safet_Butka,Albania,C
Uran Butka,1196422551,https://en.wikipedia.org/wiki/Uran_Butka,Albania,Start
Refo Çapari,1222381064,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,Start
Neritan Ceka,1184807608,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,Start
Hysni Curri,1198914812,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,Start
Ibrahim Dalliu,1248264998,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,Start
Niazi Demi,1209346411,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,Stub
Abdurrahman Dibra,1244008227,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,Start
Bujar Dida,1222151681,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,C
